,Clade,numberTipsClade,numberTipsTrimmed,sackin,colless,Variance,I2,B1,B2,avgLadder,ILnumber,pitchforks,maxHeight,MaxWidth,DelW,Stairs1,Stairs2,Cherries,BS,descinm,getstattest,skewness,kurtosis,MeanPairwiseDist,MaxPairwiseDist,diameter,WienerIndex,betweenness,closeness,eigenvector,allTrimmedSizes_3.4,Labels
1,10639,8703,182,1.661294485,1.371311236,0.000380402,127.6667363,65.88124774,96.48684685,0.025,0.588888889,0.313186813,0.276243094,22,4,0.756906077,0.401908576,38,132.0029453,-9.064959062,41.25951186,3.461896611,17.90689438,0.009542815,0.09041271,66,1517306,38439,0.000194515,0.279233444,3866,21.24175824
2,10640,8014,222,2.927389226,2.685531188,0.003016462,162.234595,74.20501804,117.3483684,0.020750988,0.6,0.324324324,0.36199095,14,4,0.787330317,0.35884698,45,166.8367772,-10.63010876,50.95617645,3.357170061,16.5858822,0.030128361,0.210959452,87,3438202,59757,9.27E-05,0.284705222,3234,14.56756757
3,10644,6368,552,2.20833216,2.001223913,0.027463719,350.4982294,237.1403266,275.9869435,0.005038961,0.483636364,0.440217391,0.148820327,48,10,0.709618875,0.480353055,143,530.4310061,-39.47990933,92.65599484,1.977618574,6.506512599,0.093452038,0.849315616,83,18299048,377825,4.92E-05,0.262757064,1982,3.59057971
4,10703,5459,8,1.458407736,0.751300955,0.060081457,4.333333333,3.283333333,3.93121571,0.5,0.666666667,0.375,0.857142857,4,2,0.714285714,0.525170068,2,7.866116912,1.776780923,1.700333807,1.056600848,2.459472674,0.126113579,0.6274,7,358,63,0.032258065,0.48613193,1107,138.375
5,10711,4177,8,1.546796084,0.92807765,0.060196312,6,2.45,4.127350233,1,1,0.375,1,2,1,0.857142857,0.370408163,1,6.375724856,2.483507421,2.49142332,1.256525702,3.102339874,0.102911105,0.621919178,8,378,55,0.028571429,0.436770288,1242,155.25
6,10712,4176,30,1.235418657,0.63900965,0.048538494,17.44040404,14.27896825,14.8007523,0.098214286,0.5,0.6,0.344827586,12,4,0.724137931,0.554462607,8,29.11277346,-0.644226591,5.698240307,1.905177812,5.130561043,0.118980317,1.005481129,16,12074,1041,0.003921569,0.353122186,1373,45.76666667
7,10718,3766,60,1.592226487,1.179108263,0.055790435,37.95058733,25.71595818,30.07246736,0.038314176,0.482758621,0.45,0.440677966,10,4,0.711864407,0.468386201,16,54.07272428,-3.790033429,8.502508265,1.111389006,3.075370688,0.116990789,1.00000074,32,89024,3957,0.00097561,0.323991152,1089,18.15
8,10720,3764,76,1.436866965,1.032370802,0.064046566,43.59746093,35.62108638,38.06082479,0.031531532,0.405405405,0.473684211,0.36,12,4,0.68,0.52553682,23,67.75838285,-5.87431286,9.309210956,1.35928598,4.254098293,0.130225647,1.063013726,34,158536,6449,0.000694444,0.319303544,1087,14.30263158
9,10721,3332,99,1.326852954,0.926868207,0.03672034,56.08317485,45.53457845,50.5490797,0.027179007,0.443298969,0.454545455,0.275510204,18,8,0.683673469,0.535643564,28,86.37995787,-7.56496635,14.66846843,1.431115623,4.159897659,0.106376662,0.690410329,37,305950,11229,0.000478927,0.283554612,807,8.151515152
10,10723,2643,49,2.501457726,2.128279883,0.048718681,34.67171249,16.39182853,24.84832443,0.122340426,0.574468085,0.306122449,0.6875,6,2,0.770833333,0.358968769,11,43.0867836,-0.494401069,12.35920516,2.078130392,6.735925716,0.120890334,0.887670685,36,63108,2421,0.001078749,0.351681205,310,6.326530612
11,10724,2641,68,2.669675226,2.337972091,0.05228174,44.7209012,25.63626662,33.63074769,0.060606061,0.454545455,0.308823529,0.626865672,6,2,0.71641791,0.397295613,19,64.84692991,-2.738585862,15.45849047,1.764491684,5.034587737,0.121533359,1.038355342,46,150398,4763,0.000631313,0.244145713,1018,14.97058824
12,10772,2503,188,2.196897465,1.908270992,0.034115856,120.780712,74.99723094,97.66278577,0.017783292,0.505376344,0.319148936,0.331550802,18,6,0.71657754,0.451547238,47,147.7239681,-12.42214929,35.78972959,2.289680094,8.191691223,0.071557121,0.97808274,70,1858162,45317,0.00015444,0.306123122,1995,10.61170213
13,10773,2426,519,2.194248948,1.98399213,0.022077634,330.0909309,212.800258,271.0976877,0.006554911,0.477756286,0.352601156,0.194980695,36,8,0.714285714,0.458871879,136,406.186067,-36.97435187,88.24092846,1.97383495,6.48723951,0.062165347,1.104110685,124,24550864,355061,3.41E-05,0.257864593,2136,4.115606936
14,10776,2402,1342,2.082791205,1.93381409,0.02024201,833.5325368,573.3307685,685.3447642,0.002330076,0.459701493,0.371087928,0.117822521,76,12,0.695749441,0.479063693,363,1196.643166,-98.25243017,222.1280298,1.971743995,6.686328172,0.070490915,1.391780082,234,257946484,2217569,8.68E-06,0.24476237,2391,1.781669151
15,10929,370,32,1.121427161,0.502708727,0.0332629,18.77013856,14.62896825,16.60324091,0.066666667,0.533333333,0.5625,0.35483871,10,4,0.709677419,0.552470093,8,25.71051625,-1.446369541,4.413056974,1.036824332,3.068640436,0.083494819,0.832877534,17,15506,1223,0.003236246,0.32907404,370,11.5625
16,10931,361,63,1.153891539,0.629940788,0.0175378,35.14126361,29.37143967,33.07984277,0.041894353,0.442622951,0.380952381,0.241935484,20,8,0.677419355,0.548672235,18,47.97334089,-3.797834043,10.17709962,2.598714024,11.24565693,0.05164409,0.893152329,27,86482,4409,0.001096491,0.346375148,361,5.73015873
17,10933,266,266,0.842720837,0.508951752,0.014851877,129.6075892,137.6527902,132.8230677,0.01046176,0.348484848,0.428571429,0.086792453,64,12,0.60754717,0.612460101,87,261.3706803,-25.80420361,36.24878512,1.717675986,5.50457426,0.068183892,0.816439452,32,2306936,91223,0.000196618,0.224353561,266,1
18,11200,57,48,1.341136563,0.817912881,0.023319665,24.34870503,23.66822899,22.4402173,0.059782609,0.347826087,0.3125,0.340425532,14,4,0.638297872,0.570508271,16,55.35909737,-4.074699392,5.94305567,1.3653006,4.60545622,0.062023092,1.005479452,20,39348,2725,0.001956947,0.325974678,57,1.1875
19,11240,10,10,1.328156617,0.569209979,0.014963891,4.914285714,4.783333333,4.896861817,0.25,0.5,0.6,0.666666667,4,2,0.666666667,0.608906526,3,10.45844994,0.32959697,0.279399343,0.224464085,1.811097291,0.06476729,0.378083562,7,660,107,0.022727273,0.462194426,10,1
20,11257,32,29,1.248641067,0.582699165,0.040230381,13.28333333,14.39404762,14.87560745,0.12962963,0.407407407,0.310344828,0.321428571,10,2,0.571428571,0.618311382,9,24.5263913,-0.771112384,5.364037759,1.390023012,3.538569815,0.10065011,0.843836438,17,12574,1005,0.003448276,0.367454297,32,1.103448276
21,11298,11,11,1.288275745,0.465972078,0.008802949,3.583333333,5.783333333,5.317325092,0,0.333333333,0.272727273,0.6,6,2,0.5,0.713333333,4,12.01296002,1.268563221,-0.00542405,-0.381194212,1.77087084,0.050085104,0.241096164,8,870,113,0.017857143,0.390523047,11,1
22,11313,44,43,2.106608158,1.617194141,0.021250497,24.29407666,17.17869204,21.90307818,0.109756098,0.512195122,0.139534884,0.523809524,10,4,0.642857143,0.479408437,11,38.89870976,-0.273379605,10.37647432,3.059401897,11.38694767,0.078158598,0.654793973,24,35092,2181,0.001949318,0.353809993,44,1.023255814
23,11356,32,21,1.184611404,0.498783749,0.00988523,11.33133971,9.876190476,11.00666354,0.157894737,0.473684211,0.428571429,0.4,8,4,0.7,0.569026807,6,16.76632664,0.064236851,4.058640002,1.465549715,3.845853574,0.055080271,0.323287726,15,5404,473,0.005617978,0.383987311,32,1.523809524
24,11359,20,18,1.361835282,0.628539361,0.010468385,7.266666667,9.176190476,9.344155549,0,0.375,0.333333333,0.470588235,8,4,0.529411765,0.657834265,6,15.23192219,-0.134928204,1.962913171,1.331104073,3.761018857,0.055995181,0.358904384,10,3272,385,0.008547009,0.384448528,20,1.111111111
25,11363,8,8,1.104854346,0.220970869,0.033800982,2.666666667,4.333333333,3.474067211,0,0.333333333,0.75,0.571428571,6,2,0.571428571,0.752380952,3,10.81369039,0.749062241,-0.174049917,0.622267969,1.950799816,0.091952048,0.493150356,7,374,63,0.03030303,0.479599805,8,1
26,11387,8,8,1.414213562,0.707106781,0.005225888,4.5,3.283333333,3.636633332,0.333333333,0.666666667,0.375,0.857142857,4,2,0.714285714,0.520408163,2,10.1762077,1.776780923,1.700333807,0.431869487,1.393530247,0.032620042,0.180822466,7,360,61,0.03125,0.472501904,8,1
27,11395,55,52,0.992059966,0.410691491,0.023292472,23.32154328,28.01349206,26.64802914,0.04,0.32,0.519230769,0.215686275,16,4,0.62745098,0.645905379,18,45.80512531,-4.041870247,6.134436776,1.445425649,3.834180213,0.086208121,0.536989562,19,48864,3377,0.001703578,0.301565236,55,1.057692308
28,11409,10,10,1.328156617,0.569209979,0.032514671,3.647619048,5.283333333,3.691450353,0,0.25,0.3,0.666666667,4,2,0.555555556,0.662610229,4,17.83431633,0.936578886,0.279399343,2.194250629,5.949668638,0.094794426,0.652053808,7,644,99,0.022727273,0.444334765,10,1
29,11449,11,11,1.452736478,0.7400733,0.019506506,5.761904762,4.95,5.556692714,0.222222222,0.555555556,0.545454545,0.7,4,2,0.7,0.557777778,3,10.34613848,0.90948378,0.886716215,1.037416951,2.438179636,0.074674425,0.38356137,8,866,119,0.018181818,0.405978612,11,1
30,11460,13,13,1.557427474,0.87471954,0.022449985,7.583333333,5.426190476,6.571060277,0.227272727,0.636363636,0.461538462,0.666666667,6,2,0.75,0.511742424,3,12.13896612,1.157092204,1.945599626,0.685433111,1.649752527,0.082094367,0.465753699,9,1378,185,0.014084507,0.411683611,13,1
31,11477,144,13,1.578762097,0.981392655,0.005265361,9.6,4.328968254,6.856917353,0.636363636,0.818181818,0.461538462,0.833333333,4,2,0.833333333,0.386210317,2,9.948105723,2.027697774,4.152580413,1.657642807,4.840852197,0.034303427,0.246575342,12,1556,155,0.011363636,0.34815564,144,11.07692308
32,11483,96,27,1.283000598,0.698522548,0.007619319,16.41454545,12.51230159,14.20088021,0.09,0.52,0.555555556,0.423076923,8,2,0.730769231,0.525921359,7,21.06481747,-1.272374261,4.015473418,1.249900648,3.474268151,0.045248821,0.345205479,15,9528,815,0.004444444,0.364773463,96,3.555555556
33,11496,32,21,1.091089451,0.342913828,0.01685601,8.717703349,11.06666667,10.96812097,0.105263158,0.368421053,0.428571429,0.35,8,4,0.55,0.677574786,7,16.91296333,-0.273024986,3.450174933,1.363019723,3.31647477,0.070338385,0.405478082,13,5098,503,0.00621118,0.342581316,32,1.523809524
34,11497,20,19,1.219525743,0.495055005,0.0211126,6.917455094,10.17619048,9.861357245,0.117647059,0.294117647,0.157894737,0.444444444,8,4,0.5,0.681166056,7,15.76093021,-0.028770529,2.428525939,1.999698781,6.348140388,0.07662152,0.46301863,11,3898,431,0.007575758,0.387750908,20,1.052631579
35,11528,19,19,1.907772945,1.400643428,0.017665343,14.49230769,5.751562327,6.139507675,0.352941176,0.764705882,0.315789474,0.833333333,6,2,0.833333333,0.334584111,3,42.09069774,1.849907372,6.176239548,1.823274475,4.548635069,0.070640669,0.550683836,16,4324,365,0.00617284,0.389884501,19,1
36,11551,21,21,1.298916013,0.571523046,0.018582476,9.833333333,10.20952381,8.949335267,0.263157895,0.473684211,0.428571429,0.4,10,4,0.55,0.631089744,6,29.81620931,0.083713808,3.436939669,1.832569698,5.348245366,0.070002862,0.632876712,13,5074,517,0.006289308,0.397710006,21,1
37,11579,9,8,1.281631041,0.486135912,0.031876931,2.666666667,4.083333333,3.906595086,0.333333333,0.333333333,0,0.714285714,4,2,0.428571429,0.683333333,3,8.278291202,1.119716836,0.763141945,0.896562192,2.226853217,0.086729726,0.479452055,7,374,57,0.029411765,0.481281237,9,1.125
38,11594,19,19,1.605910137,0.929737448,0.044257042,9.873626374,8.412301587,8.224156375,0.176470588,0.529411765,0.315789474,0.555555556,8,4,0.666666667,0.562604394,5,25.49314049,0.450465797,3.51330802,2.716629805,9.552409965,0.102925637,0.802739726,11,3642,411,0.008196721,0.391122663,19,1
39,11634,18,18,1.571348403,0.942809042,0.025184751,10.23549784,8.162301587,9.298603396,0.125,0.5,0.5,0.588235294,6,2,0.705882353,0.5286667,5,15.17564091,0.72714721,3.065785535,1.446892946,4.12012717,0.079359066,0.526027671,11,3232,359,0.008474576,0.384504668,18,1
40,11687,19,11,1.206045378,0.383741711,0.162982055,5.111111111,5.166666667,4.862300468,0.277777778,0.555555556,0.272727273,0.5,6,2,0.6,0.636666667,3,12.4824242,1.745956688,-0.885954452,1.888181562,5.559034027,0.197985135,0.909589315,10,984,109,0.014925373,0.405453118,19,1.727272727
41,11689,13,13,1.386750491,0.661373311,0.074241767,7.2,5.426190476,6.548087917,0.454545455,0.636363636,0.230769231,0.666666667,6,2,0.666666667,0.541468254,3,10.97813423,0.910807234,1.457995368,1.643727082,4.492173593,0.095809333,1.065753151,11,1506,161,0.011904762,0.37144135,13,1
42,11736,9,9,1.296296296,0.555555556,0.018663733,4.214285714,4.283333333,3.172715904,0.285714286,0.428571429,0.333333333,0.75,4,2,0.625,0.598214286,3,17.58958701,0.32712536,0.4900304,1.510277474,3.917503808,0.063588486,0.399997808,8,518,81,0.025,0.467683869,9,1
43,12234,14,14,1.259945855,0.572702661,0.060649769,7.822222222,6.592857143,6.760664231,0.25,0.5,0.642857143,0.615384615,6,2,0.692307692,0.559532135,4,14.09382996,0.826342488,1.056647299,0.971354302,3.26177789,0.110147997,1.03561789,11,1772,195,0.011363636,0.39790259,14,1
44,12272,17,17,1.169877721,0.428004044,0.058209976,8.628571429,8.233333333,8.082479081,0.133333333,0.466666667,0.529411765,0.4375,8,4,0.6875,0.602777778,5,17.71241095,0.789415508,2.94887068,0.748274438,2.113136777,0.08674231,1.134247753,13,3060,311,0.007936508,0.40257278,17,1
45,12543,117,9,1.62962963,1.037037037,0.041180232,7,2.592857143,4.689193834,1,1,0.333333333,1,2,1,0.875,0.339732143,1,6.984426272,2.670602402,2.681187713,1.424719717,3.994357479,0.081853325,0.47671074,9,536,71,0.022727273,0.416925606,117,13
46,12544,116,10,1.707629936,1.138419958,0.020911487,8,2.717857143,5.255163653,1,1,0.3,1,2,1,0.888888889,0.314329806,1,7.552535957,2.507309027,3.400304667,1.485267775,4.311251856,0.045698537,0.479449863,10,732,89,0.018518519,0.395645371,116,11.6
47,12545,115,46,1.493651121,0.987220054,0.008094295,25.5396735,21.02844141,24.19564004,0.051948052,0.454545455,0.391304348,0.422222222,16,8,0.622222222,0.541035086,13,35.83670468,-2.265907508,8.072859333,1.759891783,5.925114248,0.050401594,0.260275342,24,39852,2573,0.001814882,0.34896782,115,2.5
48,12546,93,93,1.472917407,1.084896773,0.022934544,55.26072312,42.75048199,46.3038071,0.034188034,0.450549451,0.419354839,0.282608696,16,6,0.695652174,0.517942309,26,91.15465519,-7.906186091,13.69857034,1.87457701,6.028440418,0.085856888,0.60000137,31,221250,9675,0.000642261,0.264485122,93,1
49,12638,22,22,1.104767348,0.407019549,0.007573003,8.972727273,12.09285714,10.39445546,0.1,0.3,0.409090909,0.380952381,10,4,0.571428571,0.673738299,8,25.50225438,-0.720165952,1.53174199,1.123958433,3.308235883,0.048613275,0.279452603,12,5324,567,0.006578947,0.382068219,22,1
50,12730,61,58,1.299480905,0.805949829,0.005389744,31.62601794,27.02338772,29.62946399,0.060714286,0.428571429,0.362068966,0.280701754,14,6,0.666666667,0.544051189,17,53.2594274,-4.986001352,8.138313019,1.27143193,3.760525613,0.040528316,0.350687671,22,64460,4151,0.00149925,0.312137937,61,1.051724138
51,12791,11,11,1.397916234,0.685253056,0.012591314,5.833333333,4.95,3.576356529,0.222222222,0.555555556,0.545454545,0.7,4,2,0.7,0.556190476,3,24.37681257,1.087272468,1.503594269,0.883609921,2.296041774,0.059866455,0.312328493,9,902,111,0.016949153,0.400335838,11,1
52,12916,16,13,1.514758228,0.87471954,0.006412142,8.1,5.217857143,6.828470783,0.227272727,0.636363636,0.461538462,0.75,4,2,0.75,0.473710317,3,10.29332145,1.61897068,3.366770714,1.248446275,3.332895372,0.040593045,0.263010411,11,1478,161,0.012195122,0.38553056,16,1.230769231
53,12931,8,8,1.149048519,0.265165043,0.012018198,2.666666667,4.333333333,3.110586626,0,0.333333333,0.75,0.571428571,4,2,0.428571429,0.761904762,3,13.51617822,2.161831886,0.48641432,0.860182104,2.808234845,0.056720873,0.317807671,6,364,65,0.032258065,0.483604271,8,1
54,13200,46,22,1.075694523,0.358564841,0.005444135,9.8,11.7,11.61495629,0.15,0.4,0.545454545,0.333333333,10,4,0.619047619,0.664015909,7,16.64900286,-0.892714825,2.141449423,1.067126843,2.9884332,0.038876874,0.219175674,11,5426,551,0.006369427,0.387985863,46,2.090909091
55,13201,30,29,1.069349016,0.416213689,0.007202915,15.29757835,14.37619048,15.2070734,0.092592593,0.481481481,0.517241379,0.285714286,12,4,0.642857143,0.603018707,8,23.19685804,-1.027274543,4.233389191,1.906759479,6.639916693,0.045294987,0.326027973,14,11582,955,0.00390625,0.354137265,30,1.034482759
56,13254,21,9,1.148148148,0.333333333,0.007235841,3.928571429,4.583333333,4.747352256,0.285714286,0.428571429,0.666666667,0.625,6,2,0.625,0.666666667,3,6.8507161,0.717965357,-0.378377904,-0.054492812,1.880336119,0.041197167,0.210958904,8,526,81,0.024390244,0.45022522,21,2.333333333
57,13255,14,14,1.33630621,0.572702661,0.00511396,6.590909091,6.533333333,6.984663311,0.208333333,0.5,0.214285714,0.538461538,6,2,0.615384615,0.60646661,4,14.00164534,1.203270906,3.219636656,1.727538668,4.512085439,0.038482133,0.243835288,11,1788,191,0.010989011,0.371993486,14,1
58,13279,16,13,1.60009672,1.002727278,0.00555876,8.484848485,4.828968254,6.659750794,0.318181818,0.636363636,0.230769231,0.833333333,4,2,0.75,0.427882997,3,11.80425282,1.580758869,2.719069049,1.641543079,4.639578836,0.040657894,0.230134247,12,1518,173,0.012195122,0.412868118,16,1.230769231
59,13303,10,9,1.407407407,0.666666667,0.002696134,5.2,3.783333333,4.642032468,0.285714286,0.714285714,0.666666667,0.75,4,2,0.75,0.54389881,2,7.970078763,1.784732324,2.226847008,1.329658383,3.327468369,0.026585422,0.136986575,7,500,83,0.026315789,0.468583956,10,1.111111111
60,13369,170,168,1.006645664,0.609865621,0.011129695,90.09982275,82.565175,86.53230254,0.015729585,0.409638554,0.446428571,0.119760479,36,14,0.652694611,0.579552189,50,147.3943875,-17.79108705,20.78697982,1.738635205,6.347113376,0.057127919,0.775342274,33,824456,31979,0.000326052,0.241049648,170,1.011904762
61,13538,124,26,1.078638743,0.384689342,0.041941628,12.54089636,13.59285714,13.49363106,0.083333333,0.416666667,0.692307692,0.32,10,4,0.64,0.65101462,8,20.12692174,-0.534182926,4.420261269,1.553529572,4.236020284,0.074880397,0.980820822,13,8378,821,0.004950495,0.3726713,124,4.769230769
62,13539,101,94,1.273914965,0.797705581,0.021003632,46.01630334,46.38681082,44.81138202,0.027173913,0.391304348,0.382978723,0.193548387,26,8,0.634408602,0.598795911,29,104.7224989,-6.476478192,16.97760445,2.330463198,7.816201729,0.075456037,0.802741096,25,208406,11133,0.000754148,0.296475862,101,1.074468085
63,13616,12,8,1.325825215,0.618718434,0.114684298,4.666666667,3.283333333,3.531446896,0.666666667,0.666666667,0.375,0.857142857,4,2,0.714285714,0.516666667,2,9.506160698,1.737780691,0.763141945,0.988704346,2.359856488,0.176583751,0.797259827,8,388,55,0.027777778,0.448793538,12,1.5
64,13618,9,9,1.296296296,0.481481481,0.055115376,3.333333333,4.583333333,4.497912335,0,0.428571429,0.333333333,0.625,4,2,0.5,0.684375,3,8.358787075,0.717965357,0.4900304,1.722465337,4.403000108,0.121562665,0.621917808,7,502,73,0.025,0.426878566,9,1
65,13642,10,10,1.39140217,0.632455532,0.027772899,4.714285714,4.783333333,5.029749208,0,0.5,0.6,0.666666667,4,2,0.555555556,0.618165785,3,9.395375416,1.353448871,1.881143908,1.157291799,2.343305234,0.073369863,0.589041096,7,664,105,0.022222222,0.455420293,10,1
